Average Speed,Simulation Time,Fitness
50.0,291.2387869358063,14561.939346790314
50.0,310.2108483314514,15510.54241657257
50.0,0.6050329208374023,30.251646041870117
50.0,1.2074000835418701,60.370004177093506
50.0,4.421390056610107,221.06950283050537
50.0,0.8035149574279785,40.175747871398926
50.0,0.8033912181854248,40.16956090927124
50.0,0.6039514541625977,30.197572708129883
50.0,0.5037429332733154,25.18714666366577
50.0,0.5021588802337646,25.107944011688232
50.0,1.506481409072876,75.3240704536438
50.0,0.6004860401153564,30.024302005767822
50.0,0.5026593208312988,25.13296604156494
50.0,0.7025012969970703,35.125064849853516
50.0,0.6023564338684082,30.11782169342041
50.0,0.40139222145080566,20.069611072540283
50.0,42.85548710823059,2142.7743554115295
50.0,0.4015231132507324,20.07615566253662
50.0,0.5025568008422852,25.127840042114258
50.0,0.4027838706970215,20.139193534851074
50.0,0.5023770332336426,25.11885166168213
50.0,0.7046797275543213,35.233986377716064
50.0,0.6026220321655273,30.131101608276367
50.0,0.6015963554382324,30.07981777191162
50.0,0.4036898612976074,20.18449306488037
50.0,0.402268648147583,20.11343240737915
50.0,0.5021951198577881,25.109755992889404
50.0,0.6028745174407959,30.143725872039795
50.0,1.2038910388946533,60.194551944732666
50.0,0.8038623332977295,40.193116664886475
50.0,0.6058266162872314,30.291330814361572
50.0,0.40138912200927734,20.069456100463867
50.0,0.5026111602783203,25.130558013916016
50.0,3.621212959289551,181.06064796447754
50.0,1.3084981441497803,65.42490720748901
50.0,0.6021268367767334,30.10634183883667
50.0,0.5025148391723633,25.125741958618164
50.0,0.8037807941436768,40.18903970718384
50.0,0.40236687660217285,20.118343830108643
50.0,0.9032652378082275,45.16326189041138
50.0,0.6025097370147705,30.125486850738525
50.0,0.7022676467895508,35.11338233947754
50.0,0.5004396438598633,25.021982192993164
50.0,83.38333177566528,4169.166588783264
50.0,0.5023148059844971,25.115740299224854
50.0,0.5054242610931396,25.271213054656982
50.0,0.7027907371520996,35.13953685760498
50.0,0.80470871925354,40.235435962677
50.0,13.456768989562988,672.8384494781494
50.0,0.5011498928070068,25.057494640350342
